area_fips,industry_code,year,qtr,area_title,industry_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,avg_wkly_wage
1001,10,2015,1,"Autauga County, Alabama","Total, all industries",772,7832,7841,7870,68778265,674
1001,10,2015,2,"Autauga County, Alabama","Total, all industries",781,7928,8043,8069,67319512,646
1001,10,2015,3,"Autauga County, Alabama","Total, all industries",786,8143,8168,8226,67569127,635
1001,10,2015,4,"Autauga County, Alabama","Total, all industries",796,8255,8363,8369,74822252,691
1003,10,2015,1,"Baldwin County, Alabama","Total, all industries",5319,54198,54984,57273,435683852,604
1003,10,2015,2,"Baldwin County, Alabama","Total, all industries",5393,58626,60061,61818,474388421,606
1003,10,2015,3,"Baldwin County, Alabama","Total, all industries",5474,61838,60595,59147,494082236,628
1003,10,2015,4,"Baldwin County, Alabama","Total, all industries",5599,58223,57959,58022,526156090,697
1005,10,2015,1,"Barbour County, Alabama","Total, all industries",494,6463,6492,6593,55802448,659
1005,10,2015,2,"Barbour County, Alabama","Total, all industries",498,6609,6549,6547,56385170,660
1005,10,2015,3,"Barbour County, Alabama","Total, all industries",501,6568,6570,6595,54973352,643
1005,10,2015,4,"Barbour County, Alabama","Total, all industries",501,6515,6545,6584,60583905,712
1007,10,2015,1,"Bibb County, Alabama","Total, all industries",281,2737,2708,2791,24545421,688
1007,10,2015,2,"Bibb County, Alabama","Total, all industries",283,2850,2857,2930,26937697,720
1007,10,2015,3,"Bibb County, Alabama","Total, all industries",287,2756,2770,2811,25838288,715
1007,10,2015,4,"Bibb County, Alabama","Total, all industries",292,2801,2904,2863,30874950,832
1009,10,2015,1,"Blount County, Alabama","Total, all industries",664,6025,6045,6108,46507104,590
1009,10,2015,2,"Blount County, Alabama","Total, all industries",665,6148,6216,6220,48631738,604
1009,10,2015,3,"Blount County, Alabama","Total, all industries",668,6210,6255,6223,49632861,613
1009,10,2015,4,"Blount County, Alabama","Total, all industries",686,6216,6139,6142,54372399,678
1011,10,2015,1,"Bullock County, Alabama","Total, all industries",114,2179,2210,2263,16052646,557
1011,10,2015,2,"Bullock County, Alabama","Total, all industries",117,2237,2247,2139,17339174,604
1011,10,2015,3,"Bullock County, Alabama","Total, all industries",118,2154,2164,2167,16412320,584
1011,10,2015,4,"Bullock County, Alabama","Total, all industries",119,2203,2168,2181,20455308,720
1013,10,2015,1,"Butler County, Alabama","Total, all industries",427,5795,5858,5951,44238757,580
1013,10,2015,2,"Butler County, Alabama","Total, all industries",434,5918,5943,5980,45619886,590
1013,10,2015,3,"Butler County, Alabama","Total, all industries",436,5892,5899,5906,46707592,609
1013,10,2015,4,"Butler County, Alabama","Total, all industries",444,5885,5925,5904,53398407,696
